"id","timestamp","cx","cy","radius","dist","num_circles","valid"
0,1511327671415,600,225,25,300,16,true
8,1511327672531,300,225.00000000000003,25,300,16,true
1,1511327673533,588.581929876693,282.40251485476347,25,300,16,true
9,1511327674582,311.41807012330696,167.59748514523653,25,300,16,true
2,1511327675650,556.0660171779821,331.06601717798213,25,300,16,true
10,1511327676698,343.93398282201787,118.93398282201788,25,300,16,true
3,1511327677724,507.40251485476347,363.58192987669304,25,300,16,true
11,1511327678741,392.5974851452364,86.41807012330702,25,300,16,true
4,1511327679817,450,375,25,300,16,true
12,1511327680842,450,75,25,300,16,true
5,1511327681939,392.59748514523653,363.58192987669304,25,300,16,true
13,1511327683097,507.4025148547635,86.41807012330702,25,300,16,true
6,1511327684162,343.93398282201787,331.06601717798213,25,300,16,true
14,1511327685266,556.0660171779821,118.93398282201785,25,300,16,true
7,1511327686343,311.41807012330696,282.40251485476347,25,300,16,true
15,1511327687532,588.581929876693,167.59748514523645,25,300,16,true
0,1511327695546,650,225,25,400,16,true
8,1511327696654,250,225.00000000000003,25,400,16,true
1,1511327697689,634.7759065022574,301.53668647301794,25,400,16,true
9,1511327698806,265.2240934977426,148.46331352698206,25,400,16,true
2,1511327700188,591.4213562373095,366.4213562373095,25,400,16,true
10,1511327701433,308.5786437626905,83.57864376269052,25,400,16,true
3,1511327702618,526.536686473018,409.7759065022574,25,400,16,true
11,1511327703783,373.46331352698195,40.2240934977427,25,400,16,true
5,1511327705463,373.46331352698206,409.7759065022574,25,400,16,false
4,1511327706865,450,425,25,400,16,true
12,1511327707871,449.99999999999994,25,25,400,16,true
5,1511327709006,373.46331352698206,409.7759065022574,25,400,16,true
13,1511327710094,526.536686473018,40.22409349774267,25,400,16,true
6,1511327711228,308.5786437626905,366.4213562373095,25,400,16,true
14,1511327712237,591.4213562373095,83.57864376269046,25,400,16,true
7,1511327713322,265.2240934977426,301.536686473018,25,400,16,true
15,1511327714451,634.7759065022573,148.46331352698192,25,400,16,true
0,1511327723960,575,225,25,250,16,true
8,1511327725045,325,225.00000000000003,25,250,16,true
1,1511327726174,565.4849415639109,272.8354290456362,25,250,16,true
9,1511327727239,334.51505843608913,177.1645709543638,25,250,16,true
2,1511327728284,538.3883476483185,313.3883476483184,25,250,16,true
10,1511327729373,361.6116523516815,136.61165235168158,25,250,16,true
3,1511327730391,497.83542904563626,340.48494156391087,25,250,16,true
11,1511327731476,402.16457095436374,109.51505843608919,25,250,16,true
4,1511327732610,450,350,25,250,16,true
12,1511327733838,450,100,25,250,16,true
5,1511327734953,402.1645709543638,340.48494156391087,25,250,16,true
13,1511327736067,497.83542904563626,109.51505843608918,25,250,16,true
6,1511327737078,361.6116523516816,313.3883476483185,25,250,16,true
14,1511327738224,538.3883476483184,136.61165235168153,25,250,16,true
7,1511327739339,334.51505843608913,272.83542904563626,25,250,16,true
15,1511327740475,565.4849415639108,177.1645709543637,25,250,16,true
0,1511327751600,600,225,15,300,16,true
8,1511327752765,300,225.00000000000003,15,300,16,true
1,1511327753881,588.581929876693,282.40251485476347,15,300,16,true
9,1511327755069,311.41807012330696,167.59748514523653,15,300,16,true
2,1511327756162,556.0660171779821,331.06601717798213,15,300,16,true
10,1511327757252,343.93398282201787,118.93398282201788,15,300,16,true
3,1511327758405,507.40251485476347,363.58192987669304,15,300,16,true
11,1511327759629,392.5974851452364,86.41807012330702,15,300,16,true
4,1511327760687,450,375,15,300,16,true
12,1511327762010,450,75,15,300,16,true
5,1511327763344,392.59748514523653,363.58192987669304,15,300,16,true
13,1511327764897,507.4025148547635,86.41807012330702,15,300,16,true
6,1511327766290,343.93398282201787,331.06601717798213,15,300,16,true
14,1511327767297,556.0660171779821,118.93398282201785,15,300,16,true
7,1511327768440,311.41807012330696,282.40251485476347,15,300,16,true
15,1511327769825,588.581929876693,167.59748514523645,15,300,16,true
0,1511327778355,650,225,15,400,16,true
8,1511327779657,250,225.00000000000003,15,400,16,true
1,1511327780865,634.7759065022574,301.53668647301794,15,400,16,true
9,1511327782126,265.2240934977426,148.46331352698206,15,400,16,true
2,1511327783393,591.4213562373095,366.4213562373095,15,400,16,true
10,1511327784567,308.5786437626905,83.57864376269052,15,400,16,true
3,1511327785893,526.536686473018,409.7759065022574,15,400,16,true
11,1511327787017,373.46331352698195,40.2240934977427,15,400,16,true
4,1511327788291,450,425,15,400,16,true
12,1511327789446,449.99999999999994,25,15,400,16,true
5,1511327790700,373.46331352698206,409.7759065022574,15,400,16,true
13,1511327791925,526.536686473018,40.22409349774267,15,400,16,true
6,1511327792982,308.5786437626905,366.4213562373095,15,400,16,true
14,1511327794187,591.4213562373095,83.57864376269046,15,400,16,true
7,1511327795244,265.2240934977426,301.536686473018,15,400,16,true
15,1511327796546,634.7759065022573,148.46331352698192,15,400,16,true
0,1511327804587,575,225,15,250,16,true
8,1511327805603,325,225.00000000000003,15,250,16,true
1,1511327806642,565.4849415639109,272.8354290456362,15,250,16,true
9,1511327807617,334.51505843608913,177.1645709543638,15,250,16,true
2,1511327808605,538.3883476483185,313.3883476483184,15,250,16,true
10,1511327809701,361.6116523516815,136.61165235168158,15,250,16,true
3,1511327810739,497.83542904563626,340.48494156391087,15,250,16,true
11,1511327811875,402.16457095436374,109.51505843608919,15,250,16,true
4,1511327812951,450,350,15,250,16,true
12,1511327813978,450,100,15,250,16,true
5,1511327815116,402.1645709543638,340.48494156391087,15,250,16,true
13,1511327816210,497.83542904563626,109.51505843608918,15,250,16,true
6,1511327817277,361.6116523516816,313.3883476483185,15,250,16,true
14,1511327818347,538.3883476483184,136.61165235168153,15,250,16,true
7,1511327819411,334.51505843608913,272.83542904563626,15,250,16,true
15,1511327820629,565.4849415639108,177.1645709543637,15,250,16,true